               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025191,           0.0053544,           0.0012348,             0.48435,             0.78571,             0.64319,             0.36663,             0.01027,            0.023466,          0.00017576,            0.036018,            0.007018,            0.007018
                  36,            0.018825,           0.0075913,          0.00095394,             0.48435,             0.78571,             0.64319,             0.36663,             0.01027,            0.023466,          0.00017576,            0.034213,           0.0072133,           0.0072133
                  37,            0.026538,           0.0072783,           0.0016275,             0.45905,             0.71429,             0.63652,             0.44198,            0.010643,            0.023589,          0.00019417,            0.032408,           0.0074084,           0.0074084
                  38,            0.024401,           0.0063477,           0.0015286,             0.46495,             0.71429,             0.62401,             0.41414,            0.011838,            0.024673,          0.00022125,            0.030603,           0.0076034,           0.0076034
                  39,            0.030601,           0.0071445,           0.0020593,             0.46495,             0.71429,             0.62401,             0.41414,            0.011838,            0.024673,          0.00022125,            0.028798,           0.0077983,           0.0077983
                  40,            0.035351,           0.0063496,            0.001671,             0.97396,                 0.5,             0.61814,             0.36671,             0.01093,            0.024057,          0.00024738,            0.026993,           0.0079931,           0.0079931
                  41,            0.011268,            0.007151,          0.00058278,             0.92778,                 0.5,             0.59145,             0.27927,            0.011047,            0.024628,          0.00026417,            0.025188,           0.0081877,           0.0081877
                  42,            0.028721,            0.008078,           0.0024968,             0.92778,                 0.5,             0.59145,             0.27927,            0.011047,            0.024628,          0.00026417,            0.023382,           0.0083822,           0.0083822
                  43,            0.030321,           0.0070714,           0.0021197,             0.38638,             0.71429,             0.59272,             0.37357,            0.013604,            0.022474,          0.00029087,            0.021577,           0.0085765,           0.0085765
                  44,            0.021954,           0.0067599,           0.0014169,             0.38638,             0.71429,             0.59272,             0.37357,            0.013604,            0.022474,          0.00029087,            0.019771,           0.0087708,           0.0087708
                  45,            0.029258,           0.0083402,           0.0026118,             0.50266,             0.71429,             0.59208,             0.25115,             0.01816,            0.021907,          0.00033798,            0.017965,           0.0089649,           0.0089649
                  46,            0.036535,           0.0069384,           0.0021973,             0.50266,             0.71429,             0.59208,             0.25115,             0.01816,            0.021907,          0.00033798,            0.016159,           0.0091588,           0.0091588
                  47,            0.036671,           0.0056823,           0.0019438,             0.93448,                 0.5,             0.54151,             0.21543,            0.014334,            0.024362,          0.00040665,            0.014353,           0.0093527,           0.0093527
                  48,            0.022599,           0.0068883,           0.0019086,             0.93448,                 0.5,             0.54151,             0.21543,            0.014334,            0.024362,          0.00040665,            0.012546,           0.0095464,           0.0095464
                  49,            0.029974,           0.0072993,           0.0021078,             0.40456,             0.78571,              0.6188,             0.37338,            0.010343,            0.025529,           0.0004261,             0.01074,           0.0097399,           0.0097399
                  50,            0.016027,           0.0070718,           0.0015385,             0.40456,             0.78571,              0.6188,             0.37338,            0.010343,            0.025529,           0.0004261,            0.009835,            0.009835,            0.009835
                  51,            0.015157,           0.0083303,           0.0014115,             0.53284,             0.71774,             0.60664,             0.33615,            0.010041,             0.02456,          0.00043488,            0.009835,            0.009835,            0.009835
                  52,            0.019599,            0.007394,           0.0021224,             0.53284,             0.71774,             0.60664,             0.33615,            0.010041,             0.02456,          0.00043488,           0.0098317,           0.0098317,           0.0098317
                  53,            0.023855,           0.0077563,           0.0019506,             0.53642,             0.71429,             0.59596,             0.35533,              0.0105,            0.024836,          0.00042381,           0.0098284,           0.0098284,           0.0098284
                  54,            0.019125,           0.0082786,             0.00221,             0.53642,             0.71429,             0.59596,             0.35533,              0.0105,            0.024836,          0.00042381,           0.0098251,           0.0098251,           0.0098251
                  55,            0.027701,           0.0072366,             0.00222,             0.39319,             0.78571,             0.55842,             0.30255,            0.013447,            0.022559,          0.00038795,           0.0098218,           0.0098218,           0.0098218
                  56,            0.028149,            0.007627,           0.0023335,             0.39319,             0.78571,             0.55842,             0.30255,            0.013447,            0.022559,          0.00038795,           0.0098185,           0.0098185,           0.0098185
                  57,            0.026707,           0.0070654,           0.0024545,             0.54223,             0.78571,             0.60541,             0.31986,            0.012806,            0.024343,          0.00040703,           0.0098152,           0.0098152,           0.0098152
                  58,            0.024916,           0.0072763,           0.0023302,             0.54223,             0.78571,             0.60541,             0.31986,            0.012806,            0.024343,          0.00040703,           0.0098119,           0.0098119,           0.0098119
                  59,            0.021489,            0.006196,           0.0018558,             0.41709,             0.71429,             0.60147,             0.22748,            0.014969,             0.02433,          0.00048981,           0.0098086,           0.0098086,           0.0098086
                  60,            0.022774,             0.00676,           0.0025104,             0.41709,             0.71429,             0.60147,             0.22748,            0.014969,             0.02433,          0.00048981,           0.0098053,           0.0098053,           0.0098053
                  61,            0.021431,           0.0063971,            0.001651,             0.45328,             0.67582,             0.50841,             0.13914,            0.016346,            0.025041,          0.00047569,            0.009802,            0.009802,            0.009802
                  62,            0.024148,           0.0070637,           0.0015673,             0.45328,             0.67582,             0.50841,             0.13914,            0.016346,            0.025041,          0.00047569,           0.0097987,           0.0097987,           0.0097987
                  63,             0.03144,           0.0084458,           0.0026455,             0.96127,             0.45835,             0.55392,             0.30424,            0.010519,            0.024096,          0.00049095,           0.0097954,           0.0097954,           0.0097954
                  64,            0.017582,           0.0072979,           0.0018336,             0.96127,             0.45835,             0.55392,             0.30424,            0.010519,            0.024096,          0.00049095,           0.0097921,           0.0097921,           0.0097921
                  65,            0.016112,           0.0064634,           0.0017087,             0.54047,             0.71429,             0.58065,             0.34014,            0.011231,            0.023738,          0.00049286,           0.0097888,           0.0097888,           0.0097888
                  66,            0.027256,           0.0073906,           0.0028312,             0.54047,             0.71429,             0.58065,             0.34014,            0.011231,            0.023738,          0.00049286,           0.0097855,           0.0097855,           0.0097855
                  67,            0.019638,           0.0074016,           0.0018911,             0.53712,             0.71429,             0.58259,             0.32945,           0.0099902,            0.024119,          0.00045662,           0.0097822,           0.0097822,           0.0097822
                  68,            0.022211,            0.007597,           0.0024758,             0.53712,             0.71429,             0.58259,             0.32945,           0.0099902,            0.024119,          0.00045662,           0.0097789,           0.0097789,           0.0097789
                  69,            0.014969,           0.0079877,           0.0013434,              0.4966,             0.64286,             0.57894,             0.31664,            0.010793,             0.02366,          0.00047226,           0.0097756,           0.0097756,           0.0097756
                  70,            0.017704,            0.008678,           0.0014311,              0.4966,             0.64286,             0.57894,             0.31664,            0.010793,             0.02366,          0.00047226,           0.0097723,           0.0097723,           0.0097723
                  71,            0.026323,            0.006765,           0.0022209,              0.4922,             0.64286,             0.58274,               0.348,             0.01016,            0.024724,          0.00048141,            0.009769,            0.009769,            0.009769
                  72,            0.022814,           0.0089679,           0.0024727,              0.4922,             0.64286,             0.58274,               0.348,             0.01016,            0.024724,          0.00048141,           0.0097657,           0.0097657,           0.0097657
                  73,            0.012132,           0.0060348,          0.00073934,             0.44835,             0.71429,              0.5768,             0.32485,            0.010263,            0.023778,          0.00038204,           0.0097624,           0.0097624,           0.0097624
                  74,            0.019012,           0.0075379,           0.0013145,             0.44835,             0.71429,              0.5768,             0.32485,            0.010263,            0.023778,          0.00038204,           0.0097591,           0.0097591,           0.0097591
                  75,            0.024974,           0.0093492,           0.0021177,             0.51443,             0.64286,             0.58758,             0.31913,            0.014452,            0.023213,          0.00045815,           0.0097558,           0.0097558,           0.0097558
                  76,             0.02806,           0.0069179,           0.0026913,             0.51443,             0.64286,             0.58758,             0.31913,            0.014452,            0.023213,          0.00045815,           0.0097525,           0.0097525,           0.0097525
                  77,            0.029241,           0.0074516,           0.0022237,             0.53912,             0.64286,             0.59089,             0.14828,            0.015668,            0.024195,          0.00044823,           0.0097492,           0.0097492,           0.0097492
